,Apple,Microsoft,Inflation
2014-05-31,-0.0030621468462815574,-0.0023709665229979526,-0.5519419901376724
2014-06-30,-0.001893666885446592,-0.0012045651160151566,-0.8577671749452513
2014-07-31,-0.0011748146160167365,-0.001012430954780849,-3.899505236069064
2014-08-31,-0.0034132632557801216,-0.002387707923656586,2.203466585021691
2014-09-30,0.0020850254118209527,-0.0007984520414246651,-0.931974462206189
2014-10-31,-0.004182717770326354,-0.0013057907651701712,-6.824086369323649
2014-11-30,-0.0025921169334228197,-0.0012484028076270815,-1.0439952064289677
2014-12-31,0.002437229659922198,0.0018685625181303546,15.392457363849424
2015-01-31,-0.003818624593415626,0.006637225934129148,-1.4069438551738747
2015-02-28,-0.0043537364356436,-0.003184645957890078,-1.2522309422112907
2015-03-31,0.0018284161864033164,0.003478518200944232,-5.449671866183219
2015-04-30,-0.0016813254926095862,-0.008174106655181965,2.718965528336763
2015-05-31,-0.0005296170932748978,0.0015687743354977023,-0.9569136155999763
2015-06-30,0.0014138350079389774,0.0028096055127033474,15.522485823874945
2015-07-31,0.0031593995489707094,-0.002280892695110352,-0.44577485738194345
2015-08-31,0.004924718598913043,0.005670176867494402,0.43012424580702446
2015-09-30,-0.0006639836130312266,-0.002960891693026073,1.5187298270119167
2015-10-31,-0.004438848037149723,-0.007764849077735084,-0.3554319729276444
2015-11-30,0.001710280009781251,-0.0017725277633932669,-0.14215721373750945
2015-12-31,0.005026541748021352,0.00044823497071265863,-0.29289370571290796
2016-01-31,0.005032357083336124,0.0003487407002706187,-0.46420169604706385
2016-02-29,-0.0019345124901480938,0.0021525878581898084,2.277685067737661
2016-03-31,-0.00404586767912832,-0.002436335396690273,-1.1508518766700777
2016-04-30,0.007851583080156146,0.004637625159411611,-1.4353233261525877
2016-05-31,-0.0023093782774091533,-0.0019816608653593255,5.552421808241562
2016-06-30,0.0012784555416025572,0.001606925189951334,-1.0590296918299293
2016-07-31,-0.004900090838327542,-0.004938797036249648,-3.9432973774464353
2016-08-31,-0.00025256057237863796,-0.0007574578015715048,23.28609329270803
2016-09-30,-0.002386142514206689,0.0001883208428489478,-1.5903804968667026
2016-10-31,0.0004807381357471428,-0.001867618788899596,0.38511653315907735
2016-11-30,0.0009424947707094752,0.0005583332668243175,-1.1395074074397658
2016-12-31,-0.002793312276779285,-0.0025961373377562315,3.067886908301106
2017-01-31,-0.005047712593678677,-0.0007553665458861269,-0.02973596651910393
2017-02-28,-0.004303579899247076,-0.0010960994640084015,-0.8118135622894018
2017-03-31,-0.001178910847943053,-0.00038981610118683845,-18.68788673619074
2017-04-30,-0.0010170847015348082,-0.002986497322434512,-0.036263764696499945
2017-05-31,-0.001936455099473418,-0.00041198614873314254,-0.47903737879345454
2017-06-30,0.0030699855854600263,0.0013381314353134418,-0.8093294951068564
2017-07-31,-0.002188524846657325,-0.003098900702926688,-1.5562248893747066
2017-08-31,-0.0037620898706708177,-0.0007674863784748296,-6.84119973487238
2017-09-30,0.0032788345578542654,-0.0004258868794802306,-1.2953079385250408
2017-10-31,-0.003632596937343519,-0.004840441866032118,4.246498969126025
2017-11-30,-0.0011081250895786034,-0.0005823168978963611,-1.866296835133452
2017-12-31,-0.0003106213963566806,-0.0009140136444134028,-1.231773471368326
2018-01-31,0.001296656706573381,-0.004331178567342389,1.3185498992742488
2018-02-28,-0.0019531562487589724,0.0010694728556037585,-1.8383517774381408
2018-03-31,0.0024468713823159183,0.0025663148185367684,-8.137019477218471
2018-04-30,-0.0005538496443459369,-0.003233244425119905,-0.5413713141426331
2018-05-31,-0.005249812117689525,-0.0026489230543102534,-0.6066546136911126
2018-06-30,0.00079902610099473,0.0004166474212378305,-0.8351662320786832
2018-07-31,-0.0033905702413754937,-0.0028101092878577163,-4.803246902720932
2018-08-31,-0.0053839751935117475,-0.0021328866305126786,1.6383581949375197
2018-09-30,0.00034751940167193336,-0.0017454892947196031,-1.3651723654487689
2018-10-31,0.0011861363894053842,0.004138384266546273,-2.545967865232246
2018-11-30,0.009228988770841435,-0.002496537316449303,-2.309453839439675
2018-12-31,0.008644044558459275,0.005777139766814201,-1.322722862311648
2019-01-31,-0.0020277617568649686,-0.0005847142489370238,3.0398924752240797
2019-02-28,-0.0025483493592164804,-0.004706479790881989,-1.011333515355931
2019-03-31,-0.0041372144515508975,-0.0026088708581382706,-22.36095831858102
2019-04-30,-0.004478532533743492,-0.003366189547331689,-2.9011299600809393
2019-05-31,0.00902826950033084,0.003060398235693883,-1.8762332977510137
2019-06-30,-0.0074339176184512416,-0.006106654744612578,-2.0079020895381032
2019-07-31,-0.0014598835077887001,-0.0007466925609210504,1.5942514667460888
2019-08-31,0.000856415501345096,0.0008263935771039566,0.7914722659267177
2019-09-30,-0.0043041989874872955,-0.0003193424314712701,-1.0454809047404443
2019-10-31,-0.005548552807331223,-0.0019852904862849878,-17.749296181017208
2019-11-30,-0.0015667420367323215,-0.001968529715696843,-0.8129597951357392
2019-12-31,-0.006043764710784626,-0.003374242323700586,-1.787756634807335
2020-01-31,-0.0011562565012773328,-0.003821116064429364,-2.9648723868808924
2020-02-29,0.0022266970111886226,0.0009200672450105158,-0.7495321641234811
2020-03-31,0.011722463031414805,0.008055382050284362,-21.05648910497666
2020-04-30,-0.00829088152563417,-0.006172367812933706,1.371265539014014
2020-05-31,-0.005295039857274047,-0.002246494375182112,-0.5375672689507418
2020-06-30,-0.005403800229707151,-0.004937044541709537,-0.8650883413634312
2020-07-31,-0.00779798138886496,-0.002325775201804078,-15.11496077886714
